bartoc,wikidata,wikipedia
http://bartoc.org/en/node/1964,http://www.wikidata.org/entity/Q7832459,
http://bartoc.org/en/node/1957,http://www.wikidata.org/entity/Q22927022,
http://bartoc.org/en/node/1940,http://www.wikidata.org/entity/Q2013,
http://bartoc.org/en/node/1937,http://www.wikidata.org/entity/Q17027854,
http://bartoc.org/en/node/1937,http://www.wikidata.org/entity/Q17027854,
http://bartoc.org/en/node/1937,http://www.wikidata.org/entity/Q17027854,
http://bartoc.org/en/node/1915,http://www.wikidata.org/entity/Q38840,
http://bartoc.org/en/node/1915,http://www.wikidata.org/entity/Q38840,
http://bartoc.org/en/node/1912,http://www.wikidata.org/entity/Q5196943,
http://bartoc.org/en/node/1902,http://www.wikidata.org/entity/Q1966912,
http://bartoc.org/en/node/1897,http://www.wikidata.org/entity/Q502480,
http://bartoc.org/en/node/1895,http://www.wikidata.org/entity/Q2494286,
http://bartoc.org/en/node/1892,http://www.wikidata.org/entity/Q779430,
http://bartoc.org/en/node/1890,http://www.wikidata.org/entity/Q2990408,
http://bartoc.org/en/node/1886,http://www.wikidata.org/entity/Q192475,
http://bartoc.org/en/node/1885,http://www.wikidata.org/entity/Q2078184,
http://bartoc.org/en/node/1884,http://www.wikidata.org/entity/Q902163,
http://bartoc.org/en/node/1883,http://www.wikidata.org/entity/Q21002668,https://es.wikipedia.org/wiki/Clasificaci%C3%B3n_Integrada_de_Revistas_Cient%C3%ADficas
http://bartoc.org/en/node/1809,http://www.wikidata.org/entity/Q533822,
http://bartoc.org/en/node/1766,http://www.wikidata.org/entity/Q1774565,
http://bartoc.org/en/node/1765,http://www.wikidata.org/entity/Q17083455,https://en.wikipedia.org/wiki/Structure_of_observed_learning_outcome
http://bartoc.org/en/node/1751,http://www.wikidata.org/entity/Q7574047,
http://bartoc.org/en/node/1743,http://www.wikidata.org/entity/Q1636316,
http://bartoc.org/en/node/1712,http://www.wikidata.org/entity/Q301545,
http://bartoc.org/en/node/1711,http://www.wikidata.org/entity/Q19062048,
http://bartoc.org/en/node/1702,http://www.wikidata.org/entity/Q17154345,
http://bartoc.org/en/node/1696,http://www.wikidata.org/entity/Q22927024,https://www.wikidata.org/wiki/Q22927024
http://bartoc.org/en/node/1696,http://www.wikidata.org/entity/Q22927024,https://www.wikidata.org/wiki/Q22927024
http://bartoc.org/en/node/1692,http://www.wikidata.org/entity/Q7939443,
http://bartoc.org/en/node/1691,http://www.wikidata.org/entity/Q16892890,
http://bartoc.org/en/node/1684,http://www.wikidata.org/entity/Q19366588,
http://bartoc.org/en/node/1684,http://www.wikidata.org/entity/Q19366588,
http://bartoc.org/en/node/1682,http://www.wikidata.org/entity/Q12306866,
http://bartoc.org/en/node/1680,http://www.wikidata.org/entity/Q1276102,
http://bartoc.org/en/node/1679,http://www.wikidata.org/entity/Q7795893,
http://bartoc.org/en/node/1678,http://www.wikidata.org/entity/Q17165062,
http://bartoc.org/en/node/1674,http://www.wikidata.org/entity/Q830106,
http://bartoc.org/en/node/1667,http://www.wikidata.org/entity/Q668115,
http://bartoc.org/en/node/1658,http://www.wikidata.org/entity/Q20916948,
http://bartoc.org/en/node/1657,http://www.wikidata.org/entity/Q856579,
http://bartoc.org/en/node/1644,http://www.wikidata.org/entity/Q624005,
http://bartoc.org/en/node/1637,http://www.wikidata.org/entity/Q1427897,
http://bartoc.org/en/node/1634,http://www.wikidata.org/entity/Q7884732,
http://bartoc.org/en/node/1514,http://www.wikidata.org/entity/Q1667710,
http://bartoc.org/en/node/1514,http://www.wikidata.org/entity/Q1667710,
http://bartoc.org/en/node/1410,http://www.wikidata.org/entity/Q3419990,
http://bartoc.org/en/node/1410,http://www.wikidata.org/entity/Q3419990,
http://bartoc.org/en/node/1402,http://www.wikidata.org/entity/Q5133752,
